archetype_key,zh,pinyin,category,en,es,ja,ko,th,vi,basis,status
bazi:stem:jia,甲,jiǎ,天干,Jia,Jia,甲,갑,เจีย,Giáp,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:stem:yi,乙,yǐ,天干,Yi,Yi,乙,을,อี้,Ất,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:stem:bing,丙,bǐng,天干,Bing,Bing,丙,병,ปิ่ง,Bính,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:stem:ding,丁,dīng,天干,Ding,Ding,丁,정,ติง,Đinh,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:stem:wu,戊,wù,天干,Wu,Wu,戊,무,อู้,Mậu,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:stem:ji,己,jǐ,天干,Ji,Ji,己,기,จี่,Kỷ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:stem:geng,庚,gēng,天干,Geng,Geng,庚,경,เกิง,Canh,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:stem:xin,辛,xīn,天干,Xin,Xin,辛,신,ซิน,Tân,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:stem:ren,壬,rén,天干,Ren,Ren,壬,임,เหริน,Nhâm,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:stem:gui,癸,guǐ,天干,Gui,Gui,癸,계,กุย,Quý,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:branch:zi,子,zǐ,地支,Zi,Zi,子,자,จื้อ,Tý,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:branch:chou,丑,chǒu,地支,Chou,Chou,丑,축,ฉู่,Sửu,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:branch:yin,寅,yín,地支,Yin,Yin,寅,인,อิน,Dần,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:branch:mao,卯,mǎo,地支,Mao,Mao,卯,묘,เหมา,Mão,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:branch:chen,辰,chén,地支,Chen,Chen,辰,진,เฉิน,Thìn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:branch:si,巳,sì,地支,Si,Si,巳,사,สื่อ,Tỵ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:branch:wu,午,wǔ,地支,Wu,Wu,午,오,อู่,Ngọ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:branch:wei,未,wèi,地支,Wei,Wei,未,미,เว่ย,Mùi,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:branch:shen,申,shēn,地支,Shen,Shen,申,신,เชิน,Thân,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:branch:you,酉,yǒu,地支,You,You,酉,유,โหย่ว,Dậu,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:branch:xu,戌,xū,地支,Xu,Xu,戌,술,ซวิว,Tuất,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:branch:hai,亥,hài,地支,Hai,Hai,亥,해,ไห่,Hợi,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:wuxing:mu,木,mù,五行,Wood,Madera,木,목,ไม้,Mộc,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:wuxing:huo,火,huǒ,五行,Fire,Fuego,火,화,ไฟ,Hỏa,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:wuxing:tu,土,tǔ,五行,Earth,Tierra,土,토,ดิน,Thổ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:wuxing:jin,金,jīn,五行,Metal,Metal,金,금,โลหะ,Kim,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:wuxing:shui,水,shuǐ,五行,Water,Agua,水,수,น้ำ,Thủy,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
